date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:00	1948/1948	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22ed151784aafba7335125ef466e4a4531%22	https://2hfvdkaew6rhyv40.vercel.app/robots.txt		(from )
18:05:00	8627/8627	---MCZ	200	added ('OK')	text/html	etag:W/%228e785232ba4821aa81a5e832b4ef352a%22	https://2hfvdkaew6rhyv40.vercel.app/	C:/My%20Web%20Sites/LocksmithWebsite/2hfvdkaew6rhyv40.vercel.app/index.html	(from )
18:05:01	48556/48556	---M--	200	added ('OK')	font/woff2	etag:%22d4fe31e6a2aebc06b8d6e558c9141119%22	https://2hfvdkaew6rhyv40.vercel.app/_next/static/media/a34f9d1faa5f3315-s.p.woff2	C:/My%20Web%20Sites/LocksmithWebsite/2hfvdkaew6rhyv40.vercel.app/_next/static/media/a34f9d1faa5f3315-s.p.woff2	(from https://2hfvdkaew6rhyv40.vercel.app/)
18:05:01	57649/57649	---MCZ	200	added ('OK')	text/css	etag:W/%22f3f5a610c15c3f7fd4cd8bc9cdf799f4%22	https://2hfvdkaew6rhyv40.vercel.app/_next/static/css/6822b0e4c7a8b757.css	C:/My%20Web%20Sites/LocksmithWebsite/2hfvdkaew6rhyv40.vercel.app/_next/static/css/6822b0e4c7a8b757.css	(from https://2hfvdkaew6rhyv40.vercel.app/)
18:05:02	3893/3893	---MCZ	200	added ('OK')	application/javascript	etag:W/%223ae0904f07f29a4999887cd5c4b73f74%22	https://2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/webpack-41a9ee0a1d65a3d2.js	C:/My%20Web%20Sites/LocksmithWebsite/2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/webpack-41a9ee0a1d65a3d2.js	(from https://2hfvdkaew6rhyv40.vercel.app/)
18:05:02	172831/172831	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e98310e15c98d32910d2e8ef298eac36%22	https://2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/fd9d1056-7d9b70e9456442b8.js	C:/My%20Web%20Sites/LocksmithWebsite/2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/fd9d1056-7d9b70e9456442b8.js	(from https://2hfvdkaew6rhyv40.vercel.app/)
18:05:03	123527/123527	---MCZ	200	added ('OK')	application/javascript	etag:W/%2286be95c085c6dcbb5bb2ec2a7037f094%22	https://2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/117-7f1f66425f93fa32.js	C:/My%20Web%20Sites/LocksmithWebsite/2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/117-7f1f66425f93fa32.js	(from https://2hfvdkaew6rhyv40.vercel.app/)
18:05:03	461/461	---M--	200	added ('OK')	application/javascript	etag:%22c99dc6974bed49baaa682be916d481c8%22	https://2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/main-app-b840e258ff6945a0.js	C:/My%20Web%20Sites/LocksmithWebsite/2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/main-app-b840e258ff6945a0.js	(from https://2hfvdkaew6rhyv40.vercel.app/)
18:05:04	491/491	---M--	200	added ('OK')	application/javascript	etag:%222960f7b84b0128f1c76ddb78e6fb3950%22	https://2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/870fdd6f-a7f16c0933767cd3.js	C:/My%20Web%20Sites/LocksmithWebsite/2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/870fdd6f-a7f16c0933767cd3.js	(from https://2hfvdkaew6rhyv40.vercel.app/)
18:05:04	1489/1489	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a11ff14bef544496d0468d785986dc5f%22	https://2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/69b09407-1d6e951c5773465f.js	C:/My%20Web%20Sites/LocksmithWebsite/2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/69b09407-1d6e951c5773465f.js	(from https://2hfvdkaew6rhyv40.vercel.app/)
18:05:05	73014/73014	---MCZ	200	added ('OK')	application/javascript	etag:W/%223dfcb6f875dba156f0011c144f7c8e22%22	https://2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/566-e5ce2ff0fd3de5da.js	C:/My%20Web%20Sites/LocksmithWebsite/2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/566-e5ce2ff0fd3de5da.js	(from https://2hfvdkaew6rhyv40.vercel.app/)
18:05:05	4183/4183	---MCZ	200	added ('OK')	application/javascript	etag:W/%222c02c125712def87999dbf952612fea1%22	https://2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/app/page-ed8304adedee7bf0.js	C:/My%20Web%20Sites/LocksmithWebsite/2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/app/page-ed8304adedee7bf0.js	(from https://2hfvdkaew6rhyv40.vercel.app/)
18:05:06	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22846118c33b2c0e922d7b3a7676f81f6f%22	https://2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/My%20Web%20Sites/LocksmithWebsite/2hfvdkaew6rhyv40.vercel.app/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://2hfvdkaew6rhyv40.vercel.app/)
